CustomerID,FirstName,LastName,MembershipTier,SignupDate,State
1,Melissa,Thomas,Plus,2023-10-14,NY
2,Carlos,Davis,Plus,2024-01-18,MO
3,Amanda,Davis,Club,2024-11-05,AR
4,Jennifer,Rodriguez,Club,2022-03-16,NJ
5,Michael,Jones,Club,2019-11-27,AZ
6,Robert,Anderson,Club,2021-05-26,NJ
7,Stephanie,Johnson,Club,2024-03-23,TN
8,Ryan,Smith,Plus,2023-05-15,MA
9,Amanda,Smith,Business,2023-04-08,NE
10,Stephanie,Davis,Club,2023-05-17,MO
11,Amanda,Smith,Club,2023-11-21,FL
12,Jason,Jones,Business,2020-11-07,NJ
13,Brian,Smith,Club,2019-04-21,TN
14,Jason,Garcia,Club,2020-07-09,FL
15,David,Thomas,Club,2022-09-02,FL
16,Stephanie,Rodriguez,Plus,2022-02-13,NY
17,Melissa,Johnson,Business,2019-03-21,GA
18,Robert,Johnson,Plus,2021-07-07,KS
19,James,Jones,Club,2021-03-27,NY
20,Ryan,Miller,Club,2020-04-13,MO
21,Patricia,Brown,Plus,2023-02-19,NM
22,Linda,Smith,Business,2022-06-28,MA
23,Brian,Miller,Club,2023-03-18,KS
24,Ashley,Brown,Plus,2020-02-22,MA
25,Nicole,Anderson,Plus,2019-06-18,AR
26,Kevin,Smith,Plus,2024-09-03,NY
27,Stephanie,Lopez,Plus,2020-03-08,AL
28,Stephanie,Garcia,Plus,2020-09-18,MO
29,Melissa,Taylor,Club,2025-11-27,MA
30,Kevin,Davis,Plus,2022-01-04,AR
31,Jason,Davis,Plus,2022-02-16,MA
32,Brian,Hernandez,Club,2025-11-04,IA
33,Amanda,Miller,Club,2021-01-14,MO
34,Carlos,Rodriguez,Plus,2022-10-26,PA
35,Robert,Davis,Plus,2021-02-21,NY
36,Jennifer,Taylor,Plus,2025-03-24,NY
37,James,Williams,Club,2024-01-10,FL
38,Ashley,Lopez,Club,2021-09-23,PA
39,Stephanie,Hernandez,Club,2022-11-09,AL
40,Ashley,Rodriguez,Club,2022-01-14,NV
41,Linda,Garcia,Club,2022-07-16,NY
42,Ryan,Martinez,Business,2022-02-06,NV
43,Jennifer,Lopez,Club,2022-04-28,OK
44,Michael,Rodriguez,Club,2024-12-27,TX
45,Ashley,Jones,Plus,2025-03-16,NY
46,James,Martinez,Club,2020-02-25,AL
47,Patricia,Johnson,Club,2022-10-27,NY
48,Robert,Wilson,Club,2020-04-12,MA
49,Maria,Jones,Club,2026-01-22,MA
50,Robert,Davis,Club,2022-05-29,TN
51,Rachel,Davis,Plus,2025-10-19,FL
52,Jason,Martinez,Plus,2024-01-20,TN
53,Ryan,Johnson,Plus,2022-06-04,LA
54,David,Rodriguez,Plus,2021-05-01,NM
55,Patricia,Williams,Club,2021-09-09,TN
56,Rachel,Taylor,Club,2024-01-20,KS
57,Ashley,Thomas,Club,2022-03-26,KS
58,Ryan,Miller,Club,2021-12-19,NJ
59,Michael,Rodriguez,Plus,2021-07-09,AR
60,Patricia,Martinez,Plus,2019-09-02,MA
61,Jason,Brown,Club,2022-03-28,NE
62,Carlos,Taylor,Club,2023-07-07,TX
63,Kevin,Rodriguez,Club,2023-11-05,KS
64,Ryan,Smith,Business,2025-06-14,MO
65,Maria,Garcia,Club,2025-06-18,AL
66,Patricia,Anderson,Plus,2022-02-13,NY
67,Amanda,Lopez,Club,2020-01-09,IA
68,Patricia,Hernandez,Club,2020-03-04,NY
69,Brian,Johnson,Club,2022-03-26,IA
70,Kevin,Brown,Business,2021-10-30,FL
71,James,Thomas,Club,2024-10-08,NV
72,Nicole,Taylor,Plus,2024-10-24,TX
73,Carlos,Jones,Business,2021-04-13,AL
74,Linda,Smith,Business,2024-06-08,KS
75,Ashley,Smith,Plus,2020-10-10,AR
76,Linda,Thomas,Business,2021-07-09,AZ
77,Ashley,Rodriguez,Club,2024-08-03,NY
78,Jennifer,Thomas,Plus,2024-04-18,FL
79,Rachel,Jones,Plus,2021-02-19,MO
80,Kevin,Rodriguez,Plus,2023-08-27,NE
81,Ryan,Taylor,Plus,2022-05-07,AL
82,Amanda,Lopez,Club,2025-01-15,NJ
83,Jason,Hernandez,Plus,2023-03-26,KS
84,Brian,Davis,Plus,2025-05-31,TN
85,Kevin,Taylor,Plus,2019-06-28,FL
86,Michael,Taylor,Business,2023-05-01,AZ
87,Ryan,Hernandez,Plus,2024-08-19,AL
88,Justin,Thomas,Club,2020-02-13,AZ
89,Michael,Williams,Club,2023-08-07,MO
90,Rachel,Wilson,Plus,2022-10-18,IA
91,Brian,Hernandez,Plus,2024-12-25,NY
92,Maria,Williams,Club,2025-01-25,NE
93,Robert,Anderson,Business,2021-07-20,LA
94,Patricia,Martinez,Business,2023-12-23,TX
95,Maria,Martinez,Club,2022-08-21,TN
96,Jennifer,Anderson,Plus,2020-08-19,NM
97,Patricia,Williams,Plus,2020-11-27,FL
98,Jennifer,Taylor,Business,2025-12-13,AZ
99,Jason,Rodriguez,Club,2021-08-09,OK
100,Ashley,Garcia,Club,2024-03-20,GA
101,Ashley,Anderson,Plus,2025-08-03,AL
102,David,Wilson,Plus,2022-05-22,LA
103,Brian,Lopez,Plus,2021-08-29,NE
104,Brian,Rodriguez,Club,2019-03-31,TX
105,Amanda,Martinez,Plus,2025-10-19,KS
106,Nicole,Davis,Plus,2025-10-22,MO
107,Linda,Johnson,Club,2020-07-14,AL
108,Ryan,Lopez,Plus,2019-05-17,AR
109,Kevin,Anderson,Club,2022-04-23,AZ
110,Nicole,Rodriguez,Plus,2025-01-18,MO
111,Ashley,Hernandez,Plus,2024-05-27,AL
112,Michael,Davis,Plus,2019-11-05,FL
113,Nicole,Williams,Plus,2025-04-01,OK
114,Melissa,Brown,Club,2021-12-19,MO
115,Brian,Lopez,Club,2025-07-22,KS
116,James,Hernandez,Business,2024-04-15,KS
117,Jason,Martinez,Plus,2019-09-16,LA
118,Maria,Johnson,Club,2020-07-26,NY
119,Linda,Davis,Plus,2020-04-20,AZ
120,Jason,Lopez,Plus,2023-05-11,NJ
121,Ryan,Jones,Plus,2023-09-13,LA
122,Rachel,Anderson,Business,2024-06-27,MO
123,Nicole,Miller,Club,2019-05-15,KS
124,Linda,Lopez,Club,2023-01-25,GA
125,Brian,Rodriguez,Club,2019-09-06,LA
126,Robert,Miller,Plus,2024-02-06,OK
127,Kevin,Davis,Business,2019-07-27,MA
128,Robert,Miller,Plus,2021-04-20,KS
129,Michael,Smith,Club,2022-09-07,AZ
130,Melissa,Rodriguez,Plus,2020-06-16,LA
131,Michael,Smith,Club,2019-04-16,KS
132,Kevin,Smith,Club,2025-08-08,TX
133,Stephanie,Brown,Plus,2020-06-03,NY
134,Nicole,Brown,Club,2024-01-11,KS
135,Maria,Martinez,Club,2025-11-24,OK
136,Amanda,Wilson,Club,2019-09-07,LA
137,Jason,Williams,Plus,2024-07-01,IA
138,Michael,Williams,Club,2025-10-27,MA
139,Kevin,Wilson,Business,2025-02-24,PA
140,Jason,Anderson,Club,2022-04-22,LA
141,David,Anderson,Club,2025-03-08,KS
142,Kevin,Thomas,Club,2023-08-22,LA
143,Stephanie,Hernandez,Plus,2022-07-04,GA
144,Amanda,Williams,Club,2020-09-17,AR
145,Stephanie,Brown,Plus,2020-01-17,GA
146,Melissa,Johnson,Plus,2020-06-16,NJ
147,Kevin,Brown,Club,2025-04-19,TN
148,Ashley,Martinez,Club,2019-07-30,MA
149,David,Jones,Plus,2024-09-09,KS
150,Nicole,Lopez,Club,2020-03-19,MO
151,Jennifer,Anderson,Plus,2025-06-09,NJ
152,Rachel,Rodriguez,Club,2019-04-18,MO
153,Kevin,Lopez,Club,2022-06-19,AZ
154,Brian,Williams,Club,2025-05-08,OK
155,Justin,Miller,Club,2020-01-11,AL
156,Patricia,Lopez,Club,2022-10-28,IA
157,Rachel,Williams,Plus,2025-05-13,AZ
158,Rachel,Johnson,Plus,2020-10-06,MO
159,Stephanie,Taylor,Plus,2023-12-20,TN
160,David,Brown,Club,2022-01-23,LA
161,Ryan,Taylor,Club,2022-03-06,NE
162,Jennifer,Wilson,Business,2019-07-06,TX
163,David,Martinez,Business,2019-02-01,AZ
164,Ashley,Hernandez,Club,2021-11-12,NY
165,Patricia,Jones,Club,2023-10-30,KS
166,Melissa,Lopez,Club,2024-08-11,TX
167,James,Thomas,Business,2023-11-22,IA
168,Stephanie,Wilson,Plus,2025-06-16,TN
169,Linda,Wilson,Club,2022-03-31,IA
170,Rachel,Thomas,Plus,2020-12-04,GA
171,Stephanie,Brown,Club,2019-12-27,MA
172,Justin,Williams,Club,2023-06-29,NE
173,Jennifer,Hernandez,Plus,2022-10-22,AR
174,Linda,Miller,Business,2024-09-21,GA
175,Michael,Davis,Club,2022-12-09,MO
176,Patricia,Jones,Plus,2021-03-19,AR
177,Amanda,Thomas,Plus,2020-12-26,MA
178,Ryan,Hernandez,Plus,2024-01-13,IA
179,Jason,Williams,Club,2020-09-10,NE
180,Ryan,Johnson,Club,2022-01-30,AR
181,Jason,Thomas,Club,2022-06-25,GA
182,Robert,Williams,Plus,2022-03-21,PA
183,Jason,Johnson,Club,2023-04-24,MA
184,Kevin,Taylor,Club,2021-02-10,TX
185,Linda,Hernandez,Business,2024-01-20,AR
186,Patricia,Johnson,Club,2024-08-28,AL
187,Justin,Garcia,Club,2023-12-05,NE
188,Stephanie,Hernandez,Plus,2023-05-06,TX
189,Kevin,Williams,Club,2026-01-28,NJ
